order.screen.nb_product|%{nb} produit(s)
order.screen.no_order_title|Le meilleur est encore à venir !
order.screen.no_order_description|Vos produits sont bien visibles, vos ventes sont sur le point de décoller
order.screen.cancel_and_reimport|Ré-importer la commande
order.screen.cancel_and_reimport_action_error|Le réimport a échoué
order.screen.check_cancel_and_reimport|Vous voulez vous vraiment réimporter la commande ?
order.screen.check_synchronize|Voulez-vous synchroniser l'ID ?
order.screen.synchronize_id|Synchroniser l'ID
order.screen.resend_action|Renvoyer l'action
order.screen.resend_action_success|L'action a été envoyée
order.screen.resend_action_error|L'envoi de l'action a échoué
order.screen.synchronize_action_success|La synchronisation a marché
order.screen.synchronize_action_error|La synchronisation a échoué
order.screen.check_resend_action|Voulez vous vraiment envoyer une action %{action} ?
order.table.button_search|Rechercher
order.table.id|ID
order.table.action|Action
order.table.lengow_status|Statut
order.table.order_types|Types
order.table.marketplace|Marketplace
order.table.marketplace_sku|N° de commande
order.table.customer|Nom du client
order.table.reference|Référence
order.table.date|Date
order.table.country|Pays
order.table.total|Montant
order.table.vat_number|Numéro de TVA
order.table.order_not_imported|Votre commande n'a pas été importée dans WooCommerce
order.table.action_sent_not_work|L'action envoyée à la marketplace ne fonctionne pas
order.table.no_error_message|Erreur non identifiée, merci de contacter le support Lengow pour plus d'informations
order.table.not_imported|pas importée
order.table.not_sent|pas envoyée
order.table.action_sent|action %{action_type} envoyée
order.table.action_waiting_return|Action envoyée, en attente d'une réponse
order_setting.screen.default_shipping_method_title|Gérez les méthodes de livraison
order_setting.screen.default_shipping_method_description|Sélectionnez la méthode de livraison par défaut à appliquer à vos commandes
order_setting.screen.order_status_title|Statut des commandes
order_setting.screen.order_status_description|Attribuez des statuts Lengow à vos commandes pour les retrouver facilement parmi l'ensemble de vos commandes
order_setting.screen.import_setting_title|Import des commandes
order_setting.screen.import_setting_description|Gérez ici vos paramètres d'import pour les commandes provenant des marketplaces
order_setting.screen.nb_days|jours
order_setting.screen.currency_conversion_title|Convertir la devise de vos commandes
order_setting.screen.currency_conversion_description|Toutes les commandes importées dans WooCommerce seront automatiquement convertis dans la devise choisie dans Lengow
order_setting.screen.currency_conversion_label|Activez la conversion de devises
order_setting.screen.import_b2b_without_tax_title|Commandes B2B
order_setting.screen.import_b2b_without_tax_label|Activer l'import des commandes B2B sans taxes
order_setting.screen.import_b2b_without_tax_description|Activer cette option pour importer les commandes B2B sans taxes
global_setting.screen.notification_alert_title|Notifications & alertes
global_setting.screen.security_title|Sécurité
global_setting.screen.tracker_title|Tracker Lengow
global_setting.screen.tracker_description|Ce tracker vous permet de récupérer les statistiques de commandes de votre site directement sur la plateforme Lengow.
global_setting.screen.shop_title|Gestion de la boutique
global_setting.screen.shop_description|Liez votre boutiques WooCommerce à Lengow afin d'importer vos commandes. Ces données sont automatiquement complétées et activées lors de la connexion avec Lengow. Vous pouvez néanmoins ajouter des catalogue ids dans le champ correspondant
global_setting.screen.debug_mode_title|Debug Mode
global_setting.screen.debug_mode_description|Utilisez le Debug Mode pour tester et simuler des commandes fictives. Pour rappel, vous devez activer ce paramètre UNIQUEMENT sur votre serveur de préproduction
global_setting.screen.log_file_title|Fichiers de Log
global_setting.screen.log_file_description|Retrouvez ci-dessous tout l'historique des logs (commandes importées, messages d'erreurs...). Ils seront sauvegardés ici pendant 20 jours.
global_setting.screen.button_download_file|Télécharger
global_setting.screen.button_save|Sauvegarder les changements
global_setting.screen.setting_saving|Enregistrement en cours...
global_setting.screen.setting_saved|Enregistrement terminé !
global_setting.screen.export_title|Paramètres d'export
global_setting.screen.product_types_title|Type de produit à exporter
global_setting.screen.please_choose_log|Veuillez choisir un fichier de log...
global_setting.screen.download_all_files|Télécharger tous les fichiers
help.screen.title|Demandez de l'aide à notre équipe Support !
help.screen.contain_text_support|Des questions, un feedback sur Lengow... transmettez vos demandes au
help.screen.title_lengow_support|support Lengow
help.screen.need_some_help|Besoin d'aide ?
help.screen.contain_text_support_hour|Nous ferons notre maximum pour revenir vers vous au plus vite (Notre équipe Support est disponible du lundi au vendredi, de 9h à 18h).
help.screen.find_answer|Vous pouvez aussi consulter
help.screen.link_woocommerce_guide|notre guide dédié à WooCommerce
legals.screen.simplified_company|Société par actions simplifiées
legals.screen.social_capital|Capital social :
legals.screen.cnil_declaration|Déclaration CNIL :
legals.screen.company_registration_number|RCS de Nantes :
legals.screen.vat_identification_number|Numéro de TVA intracommunautaire :
legals.screen.address|Adresse
legals.screen.contact|Contact
legals.screen.hosting|Hébergement
toolbox.screen.title|Lengow Toolbox
toolbox.screen.global_information|Information globale
toolbox.screen.checklist_information|Checklist
toolbox.screen.curl_message|Lengow a besoin de l'extension PHP CURL
toolbox.screen.curl_help|L'extension CURL n'est pas installée ou activée dans votre installation PHP
toolbox.screen.curl_help_link|http://www.php.net/manual/fr/curl.setup.php
toolbox.screen.curl_help_label|Voir le manuel de l'extension Curl PHP
toolbox.screen.simple_xml_message|Lengow a besoin de l'extension PHP SimpleXML
toolbox.screen.simple_xml_help|L'extension SimpleXML n'est pas installée ou activée dans votre installation PHP
toolbox.screen.simple_xml_help_link|http://www.php.net/manual/en/book.simplexml.php
toolbox.screen.simple_xml_help_label|Voir le manuel de l'extension SimpleXML PHP
toolbox.screen.json_php_message|Lengow a besoin de l'extension PHP JSON
toolbox.screen.json_php_help|L'extension JSON n'est pas installée ou activée dans votre installation PHP
toolbox.screen.json_php_help_link|http://www.php.net/manual/fr/book.json.php
toolbox.screen.json_php_help_label|Voir le manuel de l'extension JSON PHP
toolbox.screen.checksum_message|Vérification des fichiers du plugin
toolbox.screen.checksum_help|Certains fichiers ont été modifiés par le client
toolbox.screen.plugin_information|Informations sur le plugin
toolbox.screen.wordpress_version|Version du WordPress
toolbox.screen.woocommerce_version|Version du WooCommerce
toolbox.screen.plugin_version|Version du plugin
toolbox.screen.php_version|Version du PHP
toolbox.screen.ip_server|IP Serveur
toolbox.screen.ip_enabled|Autorisation par IP activée
toolbox.screen.ip_authorized|IP autorisée(s)
toolbox.screen.debug_disabled|Debug Mode désactivé
toolbox.screen.write_permission|Autorisation de lecture et d'écriture sur les dossiers du plugin
toolbox.screen.toolbox_url|URL de la toolbox
toolbox.screen.synchronization_information|Information sur la synchronisation
toolbox.screen.global_token|Token de synchronisation
toolbox.screen.url_import|URL de synchronisation
toolbox.screen.import_in_progress|Synchronisation en cours
toolbox.screen.no_import|Pas de synchronisation en cours
toolbox.screen.rest_time_to_import|attendre %{rest_time} secondes avant la prochaine synchronisation
toolbox.screen.shop_last_import|Dernière synchronisation
toolbox.screen.shop_type_import|Mode de la dernière synchronisation
toolbox.screen.last_import_none|none
toolbox.screen.last_import_cron|cron
toolbox.screen.last_import_manual|manuelle
toolbox.screen.nb_order_imported|Commandes importées par Lengow
toolbox.screen.nb_order_to_be_sent|Commandes en attente d'expédition
toolbox.screen.nb_order_with_error|Commandes en erreurs
toolbox.screen.shop_information|Informations sur la boutique
toolbox.screen.export_information|Informations sur l'export
toolbox.screen.shop_active|Boutique synchronisée avec Lengow
toolbox.screen.shop_catalogs_id|Catalogue ids Lengow synchronisés
toolbox.screen.export_variation_enabled|Inclus les variations de produitss
toolbox.screen.export_out_stock_enabled|Inclus les produits sans stock
toolbox.screen.export_selection_enabled|Inclus une sélection de produits
toolbox.screen.export_product_types|Inclus les types de produits
toolbox.screen.shop_export_token|Token d'export
toolbox.screen.shop_last_export|Dernier export
toolbox.screen.shop_product_total|Produits disponibles de la boutique
toolbox.screen.shop_product_exported|Produits exportés de la boutique
toolbox.screen.url_export|URL d'export de la boutique
toolbox.screen.content_folder_media|Contenu du dossier Export
toolbox.screen.folder_path|Chemin du dossier
toolbox.screen.file_list|Liste des fichiers
toolbox.screen.no_file_exported|Aucun fichier d'exporté
toolbox.screen.checksum_integrity|Intégrité des données
toolbox.screen.file_not_exists|Le fichier checkmd5.csv n'est pas valide. Enregistrement impossible !
toolbox.screen.summary|Sommaire
toolbox.screen.file_checked|%{nb_file} fichier(s) vérifié(s)
toolbox.screen.file_modified|%{nb_file} fichier(s) modifié(s)
toolbox.screen.file_deleted|%{nb_file} fichier(s) supprimé(s)
toolbox.screen.list_modified_file|Liste des fichiers modifiés
toolbox.screen.list_deleted_file|Liste des fichiers supprimés
lengow_settings.lengow_token_title|Token
lengow_settings.lengow_store_active_title|Activer la boutique
lengow_settings.lengow_account_id_title|ID du compte
lengow_settings.lengow_access_token_title|Access Token
lengow_settings.lengow_secret_token_title|Secret Token
lengow_settings.lengow_catalog_id_title|ID Catalogues
lengow_settings.lengow_catalog_id_legend|Pour ajouter plusieurs ids catalogue, utilisez des ";" pour les séparer
lengow_settings.lengow_ip_enable_title|Activer l'autorisation par IP
lengow_settings.lengow_ip_enable_legend|Activez cette option si vous voulez sécuriser votre export par ip. Par défaut, votre export est sécurisé par une clé unique.
lengow_settings.lengow_authorized_ip_title|IP autorisée(s)
lengow_settings.lengow_authorized_ip_legend|Listez ici les IP autorisées à accéder à votre flux d'export.<br />Séparez-les par ";"
lengow_settings.lengow_tracking_enabled_title|Activer le tracking Lengow
lengow_settings.lengow_tracking_id_title|ID Tracking Lengow
lengow_settings.lengow_tracking_id_legend|Le nom de l'identifiant unique indiqué dans Lengow
lengow_settings.lengow_selection_enabled_title|Exporter seulement la sélection
lengow_settings.lengow_selection_enabled_legend|Activez cette option si vous ne voulez pas exporter tous vos produits disponibles. Sélectionnez ensuite les produits un par un.
lengow_settings.lengow_product_types_title|Type de produit à exporter
lengow_settings.lengow_product_types_legend|Choisissez le type de produits que vous voulez exporter : ils seront automatiquement ajoutés à votre export. Ensuite, rendez-vous sur la page des produits si vous souhaitez affiner votre sélection.
lengow_settings.lengow_export_format_title|Exportez le format par défaut
lengow_settings.lengow_export_file_enabled_title|Exportez dans un fichier
lengow_settings.lengow_export_file_enabled_legend|Il est conseillé d'activer cette option si vous avez 3 000 produits ou plus
lengow_settings.lengow_last_export_title|Dernier export
lengow_settings.lengow_report_mail_enabled_title|Je veux être notifié en cas de problème lors de la synchronisation de mes commandes et de mes actions
lengow_settings.lengow_report_mail_address_title|Email à utiliser pour l'envoi des emails de rapport
lengow_settings.lengow_report_mail_address_legend|Pour ajouter plusieurs emails, utilisez des ";" pour les séparer
lengow_settings.lengow_import_default_shipping_method_title|Méthode de livraison par défaut
lengow_settings.lengow_id_waiting_shipment_title|Commandes en préparation
lengow_settings.lengow_id_shipped_title|Commandes expédiées
lengow_settings.lengow_id_cancel_title|Commandes annulées
lengow_settings.lengow_id_shipped_by_mp_title|Commandes expédiées par les marketplaces
lengow_settings.lengow_import_days_title|Synchroniser toutes les commandes mises à jour depuis
lengow_settings.lengow_import_days_legend|Importez vos commandes depuis ... jours et diminuez votre stock
lengow_settings.lengow_import_ship_mp_enabled_title|Import des commandes expédiées par les marketplaces
lengow_settings.lengow_import_stock_ship_mp_title|Je veux diminuer mon stock
lengow_settings.lengow_import_stock_ship_mp_legend|Activez cette option pour prendre en compte les commandes des marketplaces sur les stocks de votre backoffice WooCommerce
lengow_settings.lengow_debug_enabled_title|Activer le Debug Mode
lengow_settings.lengow_import_in_progress_title|Import en cours
lengow_settings.lengow_last_import_manual_title|Dernier import manuel
lengow_settings.lengow_last_import_cron_title|Dernier import CRON
lengow_log.error.rest_time_to_import|Attendez %{rest_time}  secondes avant d'importer de nouveau vos commandes
lengow_log.error.nb_order_imported|%{nb_order} commande(s) importée(s)
lengow_log.error.nb_order_updated|%{nb_order} commande(s) mise(s) à jour
lengow_log.error.nb_order_with_error|%{nb_order} commande(s) avec erreurs
lengow_log.error.no_notification|Pas de nouvelle notification sur vos commandes
lengow_log.error.credentials_not_valid|Votre identifiant de compte, votre jeton d'accès ou votre jeton secret ne sont pas valides
lengow_log.error.no_catalog_for_shop|Aucun identifiant de catalogue valide pour la boutique
lengow_log.error.no_country_for_billing_address|Erreur Lengow : l'adresse de facturation ne contient pas de pays
lengow_log.error.no_billing_address|Erreur Lengow : pas d'adresse de facturation dans cette commande
lengow_log.error.no_country_for_delivery_address|Erreur Lengow : l'adresse de livraison ne contient pas de pays
lengow_log.error.no_product|Erreur Lengow : pas de produit dans cette commande
lengow_log.error.no_change_rate|Erreur Lengow : pas de taux de change valide à appliquer sur les prix
lengow_log.error.no_currency|Erreur Lengow : pas de devise dans cette commande
lengow_log.exception.no_connection_webservice|la connexion ne se fait pas avec Lengow
lengow_log.exception.error_lengow_webservice|L'API Lengow : %{error_code} - %{error_message}
lengow_log.exception.order_not_found|Erreur Lengow : la commande n'a pas été trouvée dans le flux Lengow
lengow_log.exception.marketplace_not_present|Erreur Lengow : la marketplace %{marketplace_name} n’apparaît pas dans la liste des marketplaces
lengow_log.exception.order_line_required|numéro de la ligne de commande requis, non trouvé dans la commande
lengow_log.exception.action_not_valid|l'action %{action} n'est pas valide
lengow_log.exception.marketplace_action_not_present|l'action %{action} n'est pas présente pour cette marketplace
lengow_log.exception.marketplace_sku_require|la référence commande marketplace est requise
lengow_log.exception.marketplace_name_require|le nom de la marketplace est requis
lengow_log.exception.arg_is_required|envoi d'action impossible : %{arg_name} est requis
lengow_log.exception.action_not_created|création d'action impossible : %{error_message}
lengow_log.exception.action_not_created_api|création d'action impossible car l'API Lengow n'est pas disponible. Réessayez de nouveau
lengow_log.exception.action_is_too_old|l'action est trop ancienne. Réessayez de nouveau
lengow_log.exception.product_list_is_empty|impossible de récupérer les produits de la commande
lengow_log.exception.product_not_be_found|le produit %{product_id} n'a pu être trouvé
lengow_log.exception.product_is_a_parent|le produit %{product_id}  est un ID parent. Les déclinaisons du produit sont nécessaires
lengow_log.exception.woocommerce_customer_not_saved|ATTENTION ! Le client n'a pas pu être sauvegardé dans la table user de WordPress
lengow_log.exception.woocommerce_order_not_saved|ATTENTION ! La commande n'a pas pu être sauvegardée dans la table post de WordPress
lengow_log.mail_report.subject_report_mail|Erreur de l'import Lengow
lengow_log.mail_report.order|Commande %{marketplace_sku}
